,TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SIDO_3,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM,trip_day,pre_PAYMENT_load,COMPANION_AGE_avg,PAYMENT_AMT_WON,payment_bin,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,자연,도시,숙박,당일,새로운지역,익숙한지역,편하지만비싼숙소,불편하지만저렴한숙소,휴식,체험활동,알려지지않은여행지,알려진여행지,계획,즉흥,사진중요하지않음,사진중요
45,a007244,0,1,30,6,0,0,2,1,2,1,12,12,14,8,1,4,0,1,0.5,30.0,5000.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,1,3,0,3,0,0,3,3,0
46,a002019,8,1,20,6,0,3,13,0,1,0,0,7,7,1,9,4,0,2,0.5,20.0,159158.0,0.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1
47,a001859,0,1,30,6,1,3,2,2,2,4,15,8,11,8,1,6,3,3,0.5,25.0,225800.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,2,0,0,0,1,0,0,1,0,0
48,a018087,8,1,30,5,0,2,2,3,2,3,15,11,8,1,9,1,0,1,0.5,30.0,88200.0,0.0,0,1,0,0,0,1,1,0,0,0,3,0,2,0,2,0,0,0,1,0,1,0,1,0,0,0
49,a004565,14,0,20,6,0,2,12,0,1,2,2,1,13,3,9,4,0,2,0.5,20.0,130000.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,3,2,0
50,a002077,5,1,20,6,0,3,3,1,2,1,0,8,1,6,9,1,1,1,0.5,25.0,142140.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,a017910,0,1,40,4,1,3,10,0,1,1,8,15,7,8,1,3,2,1,0.5,40.0,2200.0,0.0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,3,0,0,0,3,0,3,0,0,3,0,0
52,a001817,3,1,20,5,0,0,2,3,2,4,3,15,14,11,9,1,1,2,0.3,35.0,212155.0,0.0,1,0,1,0,0,0,1,0,0,0,3,0,2,0,3,0,0,1,0,0,2,0,1,0,0,2
53,a006822,0,1,20,6,0,0,1,5,2,1,8,15,13,8,1,4,0,1,0.5,20.0,42000.0,0.0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,3,0,1,0,0,2,2,0,0,3,0,2
54,a003223,0,0,20,6,0,0,1,4,2,3,7,9,12,8,1,4,0,2,0.5,20.0,100850.0,0.0,0,1,0,0,0,1,0,1,0,0,3,0,3,0,3,0,3,0,3,0,0,1,1,0,3,0
55,a001383,8,1,30,6,1,1,13,0,1,0,8,8,1,8,1,4,0,2,0.5,30.0,113000.0,0.0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3
56,a007699,3,0,20,6,0,4,11,1,2,1,11,7,0,11,1,4,0,1,0.5,20.0,80400.0,0.0,1,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,3,0,2,0,1,0,0,3,3,0
57,a017742,11,1,30,7,1,0,1,4,1,2,15,8,0,15,9,4,0,1,0.5,30.0,74350.0,0.0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,2,0,2,0,0,1,0,2,2,0,0,3
58,a015340,0,1,40,7,1,3,10,0,1,0,7,8,15,8,1,6,3,1,0.5,21.666666666666668,134200.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,0,2,0,2,2,0,0,2
59,a006017,3,0,50,6,1,2,4,3,1,1,15,8,12,11,1,0,1,1,0.5,50.0,85300.0,0.0,0,1,1,0,0,1,0,0,0,0,2,0,1,0,2,0,1,0,1,0,2,0,0,2,0,1
60,a006061,8,1,20,6,0,2,11,0,1,1,3,15,8,1,9,4,0,1,0.5,20.0,105600.0,0.0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,2,0,2,0,0,2,1,0,2,0,0,2
61,a002927,3,1,30,5,1,3,2,0,1,0,7,10,3,11,1,6,3,3,0.3,25.0,499500.0,0.0,1,1,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,3,0,1,0,0,2,1,0
62,a004208,8,0,20,6,0,0,7,3,2,2,15,1,0,1,1,1,1,2,0.7,35.0,286850.0,0.0,0,1,1,0,0,0,0,0,1,0,2,0,2,0,2,0,2,0,0,2,0,2,2,0,0,2
63,a003110,14,1,30,6,0,3,2,3,1,0,0,1,15,3,9,3,2,2,0.9,35.0,780150.0,1.0,0,1,1,0,0,0,1,0,0,0,0,3,3,0,3,0,0,3,0,3,3,0,0,3,3,0
64,a001971,12,0,20,6,0,1,1,1,2,2,0,1,3,13,9,4,0,2,0.5,20.0,147000.0,0.0,1,1,0,0,0,0,1,0,0,0,0,1,3,0,3,0,0,3,3,0,3,0,0,3,0,3
65,a014786,8,1,30,6,1,1,12,2,2,1,8,1,15,1,1,6,1,1,0.5,35.0,132400.0,0.0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,2,0,2,0,0,1,0,0,1,0,0,2
66,b005303,0,0,20,6,0,3,2,3,2,3,1,1,7,8,1,1,1,1,0.5,20.0,35100.0,0.0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,2,0,2,0,0,2,2,0,0,2,0,3
67,a005012,8,0,20,6,0,4,11,1,2,3,0,1,15,1,9,4,0,2,0.0,20.0,121200.0,0.0,0,0,0,1,0,1,0,1,0,0,0,2,0,2,2,0,0,2,0,2,2,0,0,2,0,0
68,a002290,8,1,30,6,1,1,10,1,2,2,1,15,0,1,9,0,1,2,0.5,30.0,112000.0,0.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,2,2,0,1,0
