TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
b_b006539,롯데월드 어드벤처 부산,부산,기장군,6.0,5.0,5.0,5.0,210.0,0,b006539,2,여,20,1,5,3,3,2,4,6,3,7,9,5,1
b_b000662,하슬라아트월드,강원,강릉시,3.0,5.0,5.0,5.0,120.0,0,b000662,22,남,40,4,4,6,2,1,2,4,6,7,2,2,1
b_b000662,속초관광수산시장,강원,속초시,4.0,3.0,3.0,3.0,30.0,0,b000662,22,남,40,4,4,6,2,1,2,4,6,7,2,2,1
b_b008271,남이섬,강원,춘천시,1.0,5.0,5.0,5.0,300.0,1,b008271,21,남,60,1,2,1,1,4,7,3,1,5,7,2,2
b_b000298,영월서부시장,강원,영월군,4.0,3.0,3.0,2.0,60.0,0,b000298,1,남,40,5,2,4,4,4,4,6,6,4,10,2,3
b_b000966,삼척해변,강원,삼척시,1.0,5.0,4.0,4.0,30.0,0,b000966,5,여,20,4,2,1,3,2,1,2,4,6,1,6,1
b_b000966,용화해변,강원,삼척시,5.0,4.0,5.0,5.0,90.0,0,b000966,5,여,20,4,2,1,3,2,1,2,4,6,1,6,1
b_b006655,홈플러스 김해점,경남,김해시,4.0,4.0,3.0,3.0,60.0,0,b006655,1,여,50,4,3,6,2,4,2,6,5,3,2,4,0
b_b000425,속초해수욕장,강원,속초시,1.0,4.0,4.0,4.0,30.0,1,b000425,23,여,20,4,2,1,3,4,3,3,6,5,1,2,1
b_b000425,속초해수욕장,강원,속초시,1.0,4.0,4.0,4.0,90.0,1,b000425,23,여,20,4,2,1,3,4,3,3,6,5,1,2,1
b_b000425,속초관광수산시장,강원,속초시,4.0,4.0,5.0,5.0,60.0,1,b000425,23,여,20,4,2,1,3,4,3,3,6,5,1,2,1
b_b008038,간절곶,울산,울주군,1.0,4.0,4.0,4.0,30.0,0,b008038,5,여,20,4,2,3,1,3,4,3,5,6,2,1,0
b_b008038,간월재,울산,울주군,1.0,4.0,3.0,4.0,180.0,0,b008038,5,여,20,4,2,3,1,3,4,3,5,6,2,1,0
b_b004888,송정해변,강원,강릉시,1.0,4.0,4.0,4.0,30.0,1,b004888,22,여,20,3,2,2,3,2,1,6,3,6,1,6,0
b_b004888,강릉중앙시장,강원,강릉시,4.0,3.0,2.0,2.0,60.0,1,b004888,22,여,20,3,2,2,3,2,1,6,3,6,1,6,0
b_b004888,안목해변,강원,강릉시,1.0,5.0,5.0,5.0,60.0,1,b004888,22,여,20,3,2,2,3,2,1,6,3,6,1,6,0
b_b004888,아르떼뮤지엄 강릉,강원,강릉시,3.0,5.0,5.0,5.0,120.0,0,b004888,22,여,20,3,2,2,3,2,1,6,3,6,1,6,0
b_b004749,한반도지형,강원,영월군,1.0,5.0,5.0,5.0,30.0,1,b004749,9,남,40,4,2,2,6,4,1,3,6,6,2,4,3
