TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
b_b004393,1,여,20,4,2,2,2,3,2,3,4,4,2,1,0,['강원+강릉시']
b_b009545,1,여,20,5,2,1,2,2,2,6,2,4,2,3,0,['대구+북구']
b_b000596,4,남,20,1,5,1,2,3,3,4,1,5,3,2,1,"['부산+해운대구', '부산+수영구']"
b_b009861,21,여,20,4,1,1,4,4,6,1,4,7,7,1,0,['강원+강릉시']
b_b003370,2,여,20,1,3,2,2,5,2,2,1,4,3,2,5,['경북+경주시']
b_b011242,21,남,30,5,2,3,2,2,2,3,6,5,6,6,1,['부산+해운대구']
b_b001299,7,남,30,7,2,1,1,2,2,3,2,2,1,1,2,"['강원+양양군', '강원+강릉시']"
b_b003859,21,여,20,2,2,5,1,2,7,6,1,7,2,1,2,['강원+양양군']
b_b005652,2,여,20,7,3,3,3,5,4,5,3,6,4,4,0,['경북+경주시']
b_b006236,21,여,30,3,6,4,4,1,3,4,4,7,3,1,1,"['부산+기장군', '경북+경주시']"
b_b018627,3,여,20,1,1,4,3,2,4,1,5,4,1,1,0,['경북+경주시']
b_b004778,21,여,30,6,1,2,2,5,3,6,3,3,7,4,1,['강원+강릉시']
b_b007937,4,남,20,3,3,3,3,3,2,2,5,5,2,3,0,"['대구+수성구', '대구+중구']"
b_b011118,1,여,40,3,4,1,4,3,4,2,6,6,3,2,1,['부산+기장군']
b_b005273,3,여,30,3,1,1,1,5,7,1,1,7,5,5,1,['경북+경주시']
b_b006321,7,남,30,4,4,2,2,5,4,4,3,5,4,2,1,"['부산+해운대구', '부산+수영구']"
b_b001651,4,여,20,4,3,3,3,1,3,3,1,5,2,4,1,['경북+포항시']
b_b010300,1,여,20,3,6,1,1,3,7,3,1,7,3,3,1,['부산+기장군']
b_b006646,9,남,30,2,1,1,1,5,4,1,1,2,10,5,0,['강원+강릉시']
b_b015565,2,남,20,1,2,2,1,3,1,1,1,7,8,1,16,['경북+경주시']
b_b002136,3,남,50,5,3,5,3,1,3,1,2,4,2,1,1,"['강원+원주시', '강원+속초시', '강원+양양군']"
